priority,language,id,headword,enTerms,jaTranslation,jmdictSense,note,humanDecision,humanNote
P3(多くは同義語差),english,en-00048,their,their,彼らの,they; them; those,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00139,something,something,何か,something; some; any,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00142,great,great,素晴らしい,wonderful; splendid; magnificent,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00174,while,while,間,space (between); gap; interval,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00185,let,let,させる,to make (someone) do; to allow (someone) to do; (any) particular,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00208,provide,provide,供給する,supply; provision,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00250,though,though,にもかかわらず,in spite of; despite; although,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00265,cost,cost,かかる,to span; to bridge; to cross,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00288,sort,sort,種類,variety; kind; type,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00299,share,share,共有する,joint ownership; co-ownership; sharing (e.g. a viewpoint),JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00333,base,base,基礎,foundation; basis,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00348,suggest,suggest,提案する,proposal; proposition; suggestion,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00350,deal,deal,取引,transactions; dealings; business,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00352,expect,expect,期待する,expectation; anticipation; hope,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00385,political,political,政治の,politics; government,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00390,real,real,現実の,reality; actuality; hard fact,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00406,involve,involve,伴う,to accompany; to go hand in hand with; to be consequent upon,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00410,create,create,創造する,creation; Creation (by God),JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00417,further,further,さらに,furthermore; again; after all,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00427,appear,appear,姿を現す,to make an appearance; to show up,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00428,drive,drive,運転する,operation (of a machine); running; working,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00431,produce,produce,生産する,production; manufacture; live birth,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00432,free,free,自由な,freedom; liberty,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00438,perhaps,perhaps,おそらく,probably; (most) likely; in all likelihood,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00461,agree,agree,意見が一致する,seeing eye to eye; reaching an agreement; coinciding in opinion,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00472,describe,describe,描写する,depiction; description; portrayal,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00473,someone,someone,だれか,someone; somebody,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00500,charge,charge,費用,cost; expense,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00503,improve,improve,改善する,betterment; improvement; kaizen (Japanese business philosophy of continuous improvement),JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00504,kid,kid,子供,child; children,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00507,happy,happy,幸せな,happiness; good fortune; luck,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00518,site,site,場所,place; location; spot,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00521,claim,claim,要求する,demand; firm request; requisition,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00524,true,true,本当の,truth; reality; actuality,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00539,explain,explain,説明する,explanation; exposition; description,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00561,serve,serve,提供する,offer; tender; providing,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00564,likely,likely,しそうな,instigation; municipal funeral; priestly teacher,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00574,arrive,arrive,到着する,arrival,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00583,current,current,現在の,the present; present time; now,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00591,reduce,reduce,減らす,to abate; to decrease; to diminish,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00604,thus,thus,このように,in this manner; in this way; like this,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00611,mention,mention,言及する,reference; allusion,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00616,exist,exist,存在する,existence; being; presence,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00622,apply,apply,適用する,"application (of a rule, law, method, etc.)",JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00623,compare,compare,比較する,comparison,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00624,suppose,suppose,仮定する,assumption; supposition; hypothesis,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00628,relate,relate,関連する,relation; connection; relevance,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00674,affect,affect,影響する,influence; effect; impact,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00675,establish,establish,設立する,establishment; founding; incorporation (of a business),JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00678,manage,manage,管理する,control; management (e.g. of a business),JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00697,determine,determine,決定する,decision; determination,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00718,medium,medium,中間の,middle; midway; halfway,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00766,fit,fit,適した,by chance; by accident; accidentally,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00769,fail,fail,失敗する,failure; mistake; blunder,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00773,achieve,achieve,達成する,achievement; attainment; accomplishment,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00779,attend,attend,出席する,attendance; presence; appearance,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00781,argue,argue,議論する,argument; discussion; dispute,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00814,marry,marry,結婚する,marriage,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00817,introduce,introduce,紹介する,introduction; presentation; referral,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00818,prove,prove,証明する,proof; testimony; demonstration,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00839,propose,propose,提案する,proposal; proposition; suggestion,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00863,express,express,表現する,expression; representation; description,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00874,define,define,定義する,definition,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00883,refer,refer,参照する,"reference (e.g. to a dictionary, passage, footnotes); consultation; comparison",JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00897,operate,operate,操作する,operation; management; handling,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00898,bar,bar,棒,pole; rod; stick,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00902,central,central,中心の,center; centre; middle,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00909,assume,assume,想定する,hypothesis; supposition; assumption,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00918,reflect,reflect,反射する,reflection; reverberation; reflex,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00928,successful,successful,成功した,success; achievement; succeeding (in life),JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00930,resource,resource,資源,resources,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00942,maintain,maintain,維持する,maintenance; preservation; improvement,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00953,basic,basic,基礎の,foundation; basis,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00966,imagine,imagine,想像する,imagination; supposition; guess,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00993,observe,observe,観察する,observation; survey; watching,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-00996,discover,discover,発見する,discovery; detection; finding,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01003,legal,legal,法律の,law; legislation; act,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01004,recommend,recommend,推薦する,recommendation; referral; endorsement,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01006,text,text,文章,writing; composition; essay,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01014,independent,independent,独立した,independence; self-reliance; supporting oneself,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01015,additional,additional,追加の,addition; supplement; appending,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01019,invite,invite,招待する,invitation,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01039,announce,announce,発表する,announcement; publication; presenting,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01048,invest,invest,投資する,investment,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01049,primary,primary,第一の,first; foremost; number one,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01051,federal,federal,連邦の,federation (of states); confederation; commonwealth,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01071,sector,sector,部門,division (of a larger group); branch; field,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01073,executive,executive,幹部,management; (executive) staff; leaders,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01078,none,none,何も〜ない,there is nothing; having nothing,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01079,negative,negative,否定の,denial; negation; repudiation,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01083,block,block,かたまり,lump; mass; bundle,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01088,ensure,ensure,保証する,guarantee; security; assurance,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01095,safe,safe,安全な,safety; security,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01099,ride,ride,乗る,"to get on (train, plane, bus, ship, etc.); to get in; to board",JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01101,highly,highly,非常に,very; extremely; exceedingly,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01112,reveal,reveal,明らかにする,to make clear; to clarify; to disclose,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01127,deliver,deliver,配達する,delivery,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01129,pair,pair,組,class (of students); group (of people); party,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01134,intend,intend,意図する,intention; aim; design,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01141,moreover,moreover,そのうえ,in addition; furthermore; above (which),JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01148,grant,grant,助成金,subsidy; grant-in-aid,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01155,category,category,分類,classification; categorization; sorting,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
