priority,language,id,headword,field,currentValue,suggestedValue,reason,issueCategory,severity,confidence,dictionaryCheckRequired,humanReviewRequired,decision,reviewNote
P1-publication-risk,en,en-20863,madman,tags,形容詞,名詞,訳「気違い」は名詞。品詞タグ『形容詞』は不一致。madman=気違い（名詞）,pos_mismatch,high,0.98,true,true,,
P1-publication-risk,en,en-22571,erection,example,I have an erection. — 僕は勃起しています。,,answerは「建設」だが、例文『I have an erection. — 僕は勃起しています。』は解剖学的/性的な別義を示しており、提示義と一致しない。例文の差し替えが必要。,example_sense_mismatch,high,0.95,false,true,,
P1-publication-risk,en,en-22829,geezer,example,When is the slant-eyed geezer coming? — つり目のおじさんはいつ来るの？,,例文『When is the slant-eyed geezer coming?』に人種差別的表現(slant-eyed)が含まれ学習用例文として不適切。IPAもnull。差し替え推奨。,inappropriate_content,high,0.9,false,true,,
P1-publication-risk,en,en-20863,madman,answer,気違い,狂人,『気違い』は差別的・放送不適切とされる語。学習アプリでは『狂人』等が無難。例文和訳では既に『狂人』を使用。,inappropriate_content,medium,0.8,false,true,,
P1-publication-risk,en,en-00214,since,tags,名詞,接続詞/前置詞,since は接続詞/前置詞であり名詞ではない。3タグ体系に該当スロットがないための便宜的タグと推測。,pos_mismatch,low,0.9,true,true,,
P1-publication-risk,en,en-22829,geezer,pronunciation,,,pronunciation(IPA)がnull。正しいIPAは外部辞書未照合のため補完値は not_verified。,missing_pronunciation,low,0.99,true,true,,
P2-high,de,de-01355,Ton,answer / glosses.en,clay,sound / tone (primary); clay (secondary),『der Ton』の最頻義は「音・音色・トーン」であり、「粘土」は同綴の第二義です。英訳(answer/glosses.en)が『clay』のみを採用しているため、最も一般的な意味が欠落しています。和訳glosses.jaは『音，粘土』と音を先頭に置いており、英和で主要義の順序が食い違っています(英和不整合)。学習者を誤誘導する恐れがあります。,translation_issue,high,0.92,false,true,,
P2-high,en,en-00701,exactly,tags,名詞,副詞,品詞タグ「名詞」が誤り。和訳・例文の用法から品詞は「副詞」。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-00703,everyone,tags,形容詞,代名詞,品詞タグ「形容詞」が誤り。和訳・例文の用法から品詞は「代名詞」。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-00752,indeed,tags,名詞,副詞,品詞タグ「名詞」が誤り。和訳・例文の用法から品詞は「副詞」。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-00776,alone,tags,名詞,副詞,品詞タグ「名詞」が誤り。和訳・例文の用法から品詞は「副詞」。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-00777,below,tags,名詞,前置詞,品詞タグ「名詞」が誤り。和訳・例文の用法から品詞は「前置詞」。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-00794,specific,tags,名詞,形容詞,和訳「特定の」・例文は形容詞用法だが品詞タグは「名詞」。名詞用法もあるが本項の主要義は形容詞。,pos_mismatch,high,0.95,true,true,,
P2-high,en,en-00810,clearly,tags,名詞,副詞,品詞タグ「名詞」が誤り。和訳・例文の用法から品詞は「副詞」。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-00815,despite,tags,名詞,前置詞,品詞タグ「名詞」が誤り。和訳・例文の用法から品詞は「前置詞」。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-00820,popular,tags,動詞,形容詞,品詞タグ「動詞」が誤り。和訳・例文の用法から品詞は「形容詞」。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-00821,modern,tags,名詞,形容詞,和訳「現代の」・例文は形容詞用法だが品詞タグは「名詞」。名詞用法もあるが本項の主要義は形容詞。,pos_mismatch,high,0.95,true,true,,
P2-high,en,en-00828,ready,tags,名詞,形容詞,和訳「準備ができた」・例文は形容詞用法だが品詞タグは「名詞」。名詞用法もあるが本項の主要義は形容詞。,pos_mismatch,high,0.95,true,true,,
P2-high,en,en-00836,nearly,tags,名詞,副詞,品詞タグ「名詞」が誤り。和訳・例文の用法から品詞は「副詞」。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-00846,quickly,tags,動詞,副詞,品詞タグ「動詞」が誤り。和訳・例文の用法から品詞は「副詞」。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-00858,generally,tags,名詞,副詞,品詞タグ「名詞」が誤り。和訳・例文の用法から品詞は「副詞」。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-00860,yourself,tags,名詞,代名詞,品詞タグ「名詞」が誤り。和訳・例文の用法から品詞は「代名詞」。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-00870,natural,tags,名詞,形容詞,和訳「自然の」・例文は形容詞用法だが品詞タグは「名詞」。名詞用法もあるが本項の主要義は形容詞。,pos_mismatch,high,0.95,true,true,,
P2-high,en,en-00872,everybody,tags,形容詞,代名詞,品詞タグ「形容詞」が誤り。和訳・例文の用法から品詞は「代名詞」。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-00873,beyond,tags,名詞,前置詞,品詞タグ「名詞」が誤り。和訳・例文の用法から品詞は「前置詞」。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-00886,except,tags,名詞,前置詞,品詞タグ「名詞」が誤り。和訳・例文の用法から品詞は「前置詞」。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-00891,worth,tags,動詞,形容詞,品詞タグ「動詞」が誤り。和訳・例文の用法から品詞は「形容詞」。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-00896,somebody,tags,名詞,代名詞,品詞タグ「名詞」が誤り。和訳・例文の用法から品詞は「代名詞」。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-00902,central,tags,名詞,形容詞,和訳「中心の」・例文は形容詞用法だが品詞タグは「名詞」。名詞用法もあるが本項の主要義は形容詞。,pos_mismatch,high,0.95,true,true,,
P2-high,en,en-00906,obviously,tags,名詞,副詞,品詞タグ「名詞」が誤り。和訳・例文の用法から品詞は「副詞」。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-00919,useful,tags,動詞,形容詞,品詞タグ「動詞」が誤り。和訳・例文の用法から品詞は「形容詞」。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-00928,successful,tags,名詞,形容詞,品詞タグ「名詞」が誤り。和訳・例文の用法から品詞は「形容詞」。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-00932,throughout,tags,名詞,前置詞,品詞タグ「名詞」が誤り。和訳・例文の用法から品詞は「前置詞」。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-00946,doubt,tags,形容詞,名詞,品詞タグ「形容詞」が誤り。和訳・例文の用法から品詞は「名詞」。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-00948,previous,tags,名詞,形容詞,和訳「前の」・例文は形容詞用法だが品詞タグは「名詞」。名詞用法もあるが本項の主要義は形容詞。,pos_mismatch,high,0.95,true,true,,
P2-high,en,en-00951,suddenly,tags,名詞,副詞,品詞タグ「名詞」が誤り。和訳・例文の用法から品詞は「副詞」。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-00962,dead,tags,名詞,形容詞,和訳「死んだ」・例文は形容詞用法だが品詞タグは「名詞」。名詞用法もあるが本項の主要義は形容詞。,pos_mismatch,high,0.9,true,true,,
P2-high,en,en-00981,whom,tags,名詞,代名詞,品詞タグ「名詞」が誤り。和訳・例文の用法から品詞は「代名詞」。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-00984,ahead,tags,名詞,副詞,品詞タグ「名詞」が誤り。和訳・例文の用法から品詞は「副詞」。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-01003,legal,tags,名詞,形容詞,和訳「法律の」・例文は形容詞用法だが品詞タグは「名詞」。名詞用法もあるが本項の主要義は形容詞。,pos_mismatch,high,0.95,true,true,,
P2-high,en,en-01011,easily,tags,名詞,副詞,品詞タグ「名詞」が誤り。和訳・例文の用法から品詞は「副詞」。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-01014,independent,tags,名詞,形容詞,和訳「独立した」・例文は形容詞用法だが品詞タグは「名詞」。名詞用法もあるが本項の主要義は形容詞。,pos_mismatch,high,0.95,true,true,,
P2-high,en,en-01015,additional,tags,名詞,形容詞,和訳「追加の」・例文は形容詞用法だが品詞タグは「名詞」。名詞用法もあるが本項の主要義は形容詞。,pos_mismatch,high,0.95,true,true,,
P2-high,en,en-01028,completely,tags,名詞,副詞,品詞タグ「名詞」が誤り。和訳・例文の用法から品詞は「副詞」。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-01035,absolutely,tags,名詞,副詞,品詞タグ「名詞」が誤り。和訳・例文の用法から品詞は「副詞」。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-01042,laughter,tags,形容詞,名詞,品詞タグ「形容詞」が誤り。和訳・例文の用法から品詞は「名詞」。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-01049,primary,tags,名詞,形容詞,和訳「第一の」・例文は形容詞用法だが品詞タグは「名詞」。名詞用法もあるが本項の主要義は形容詞。,pos_mismatch,high,0.95,true,true,,
P2-high,en,en-01051,federal,tags,名詞,形容詞,和訳「連邦の」・例文は形容詞用法だが品詞タグは「名詞」。名詞用法もあるが本項の主要義は形容詞。,pos_mismatch,high,0.95,true,true,,
P2-high,en,en-01052,wind,pronunciation,/ˈwaɪnd/,/ˈwɪnd/,和訳『風』(名詞)の発音は/wɪnd/。現行の/ˈwaɪnd/は動詞wind『巻く』の発音で、異形同綴語の取り違え。外部辞書未照合につき最終確認要。,pronunciation,high,0.9,true,true,,
P2-high,en,en-01059,immediately,tags,名詞,副詞,品詞タグ「名詞」が誤り。和訳・例文の用法から品詞は「副詞」。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-01060,unless,tags,名詞,接続詞,品詞タグ「名詞」が誤り。和訳・例文の用法から品詞は「接続詞」。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-01070,chair,tags,動詞,名詞,品詞タグ「動詞」が誤り。和訳・例文の用法から品詞は「名詞」。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-01078,none,tags,形容詞,代名詞,品詞タグ「形容詞」が誤り。和訳・例文の用法から品詞は「代名詞」。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-01084,payment,tags,形容詞,名詞,品詞タグ「形容詞」が誤り。和訳・例文の用法から品詞は「名詞」。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-01091,medical,tags,名詞,形容詞,和訳「医学の」・例文は形容詞用法だが品詞タグは「名詞」。名詞用法もあるが本項の主要義は形容詞。,pos_mismatch,high,0.95,true,true,,
P2-high,en,en-01093,directly,tags,名詞,副詞,品詞タグ「名詞」が誤り。和訳・例文の用法から品詞は「副詞」。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-01101,highly,tags,名詞,副詞,品詞タグ「名詞」が誤り。和訳・例文の用法から品詞は「副詞」。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-01115,otherwise,tags,名詞,副詞,品詞タグ「名詞」が誤り。和訳・例文の用法から品詞は「副詞」。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-01116,nobody,tags,形容詞,代名詞,品詞タグ「形容詞」が誤り。和訳・例文の用法から品詞は「代名詞」。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-01117,aware,tags,動詞,形容詞,品詞タグ「動詞」が誤り。和訳・例文の用法から品詞は「形容詞」。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-01141,moreover,tags,名詞,副詞,品詞タグ「名詞」が誤り。和訳・例文の用法から品詞は「副詞」。,pos_mismatch,high,0.98,true,true,,
