priority,language,id,headword,currentTags,suggestedTags,answer,example,exampleForm,dictionaryPos1,dictionaryPos2,decisionStatus,reason,confidence,humanDecision,humanNote
P2,english,en-00602,instead,名詞,,その代りとして,"The pool was closed, so we played tennis instead.",instead,adverb,adverb,multiple_pos_record_ambiguous,例文なし。多品詞[adverb]/answer曖昧/慎重語→人手,0,,
P2,english,en-01795,attractive,動詞,,魅力のある,The town has many attractive places for visitors.,attractive,adjective,adjective,multiple_pos_record_ambiguous,例文なし。多品詞[adjective]/answer曖昧/慎重語→人手,0,,
P2,english,en-02099,assistance,形容詞,,手伝い,I need your assistance with these heavy bags.,assistance,noun,noun,multiple_pos_record_ambiguous,例文なし。多品詞[noun]/answer曖昧/慎重語→人手,0,,
P2,english,en-02328,remarkable,名詞,,注目すべき,The young player made remarkable progress this year.,remarkable,adjective,adjective,multiple_pos_record_ambiguous,例文なし。多品詞[adjective]/answer曖昧/慎重語→人手,0,,
P2,english,en-02588,disagree,形容詞,,一致しない,My answer disagrees with yours on one point.,disagrees,verb,verb,multiple_pos_record_ambiguous,例文なし。多品詞[verb]/answer曖昧/慎重語→人手,0,,
P2,english,en-02682,subsequently,名詞,,その後,He moved to the city and subsequently opened a bakery.,subsequently,adverb,adverb,multiple_pos_record_ambiguous,例文なし。多品詞[adverb]/answer曖昧/慎重語→人手,0,,
P2,english,en-08482,talented,動詞,,才能のある,The talented girl plays three musical instruments.,talented,adjective,adjective,multiple_pos_record_ambiguous,例文なし。多品詞[adjective]/answer曖昧/慎重語→人手,0,,
P2,english,en-08796,momentum,形容詞,,勢い,The rolling stone gained momentum down the hill.,momentum,noun,noun,multiple_pos_record_ambiguous,例文なし。多品詞[noun]/answer曖昧/慎重語→人手,0,,
P2,english,en-08980,adaptive,動詞,,適応性のある,The camera has an adaptive lens for dark places.,adaptive,adjective,adjective,multiple_pos_record_ambiguous,例文なし。多品詞[adjective]/answer曖昧/慎重語→人手,0,,
P2,english,en-09113,funky,動詞,,ファンキーな，いかした,,,adjective,adjective,multiple_pos_record_ambiguous,例文なし。多品詞[adjective]/answer曖昧/慎重語→人手,0,,
P2,english,en-09373,enclosure,形容詞,,囲い,The sheep stayed inside the wooden enclosure.,enclosure,noun,noun,multiple_pos_record_ambiguous,例文なし。多品詞[noun]/answer曖昧/慎重語→人手,0,,
P2,english,en-20361,glorious,動詞,,栄光ある,The team celebrated their glorious victory.,glorious,adjective,adjective,multiple_pos_record_ambiguous,例文なし。多品詞[adjective]/answer曖昧/慎重語→人手,0,,
P2,english,en-20567,magician,形容詞,,魔法使い,"In the tale, a magician helps the poor boy.",magician,noun,noun,multiple_pos_record_ambiguous,例文なし。多品詞[noun]/answer曖昧/慎重語→人手,0,,
