"language","id","level","prompt","answer","choices","example","pronunciation","人の判定(OK/NG/保留)","備考"
"english","en-07340","5","「correlation」の意味は？","相関","検査官 / 相関 / 概して / 趣味","There is a correlation between sleep and health. — 睡眠と健康の間には相関がある。","/ˌkɔɹəˈɫeɪʃən/","",""
"english","en-09131","5","「introductory」の意味は？","入門の，序論の","ハイキング / 行政 / 入門の，序論の / 感動した","We watched an introductory video about the school. — わたしたちは学校紹介のビデオを見た。","/ˌɪntɹəˈdəktɝi/","",""
"english","en-06866","5","「composer」の意味は？","作曲家","作曲家 / 裸の / 料理 / 鉄道","The composer wrote this song for the movie. — その作曲家は映画のためにこの歌を書いた。","/kəmˈpoʊzɝ/","",""
"english","en-06870","5","「photographic」の意味は？","写真の","平等 / くぼみ / 不在の / 写真の","He has great photographic skills. — 彼はすばらしい写真の技術を持っている。","/ˌfoʊtəˈɡɹæfɪk/","",""
"english","en-04905","4","「productivity」の意味は？","生産性","生産性 / ジェット機 / ベクトル / 調整役","Good rest improves the productivity of workers. — よい休息は働く人の生産性を高める。","/ˌpɹoʊdəkˈtɪvəti/","",""
"english","en-00683","1","「yesterday」の意味は？","昨日","人口 / 昨日 / 独身の / 復習","It rained all day yesterday. — 昨日は一日中雨が降った。","/ˈjɛstɝˌdeɪ/","",""
"english","en-04469","4","「resume」の意味は？","再開する","磨く / 再開する / 威厳のある / 軽くたたく","We will resume the game after lunch. — 昼食後に試合を再開する。","/ˈɹɛzəˌmeɪ/","",""
"english","en-06806","5","「accordingly」の意味は？","従って","ケイ素 / モーテル / 従って / 拡大","The rules changed, and we acted accordingly. — 規則が変わったので、わたしたちはそれに従って行動した。","/əˈkɔɹdɪŋɫi/","",""
"english","en-00673","1","「holiday」の意味は？","休日","管理者 / 接触 / 鍵 / 休日","We went to the sea during the holiday. — 休日に海へ行った。","/ˈhɑɫəˌdeɪ/","",""
"english","en-08397","5","「abandoned」の意味は？","見捨てられた","見捨てられた / 後退 / 二の次の事 / 地下室","The abandoned house stood at the end of the street. — 見捨てられた家が通りの突き当たりに立っていた。","/əˈbændənd/","",""
"english","en-21424","6","「chalk」の意味は？","チョーク","ココア / 記念碑 / チョーク / 直観","The teacher wrote the date with white chalk. — 先生は白いチョークで日付を書いた。","/ˈtʃɑk/","",""
"english","en-02773","3","「weekly」の意味は？","毎週の","ナイフ / 神経 / 最新の / 毎週の","Our weekly meeting is on Monday morning. — 私たちの毎週の会議は月曜の朝にある。","/ˈwikɫi/","",""
"english","en-21440","6","「sinister」の意味は？","不吉な","男らしい / 不吉な / ひどく醜い / 罪のあがない","The dark clouds gave the castle a sinister look. — 暗い雲が城に不吉な雰囲気を与えた。","/ˈsɪnɪstɝ/","",""
"english","en-08357","5","「occasional」の意味は？","時折の","目立った / 増幅器 / 時折の / 親の","We enjoy an occasional trip to the hot spring. — わたしたちは時折の温泉旅行を楽しんでいる。","/əˈkeɪʒənəɫ/","",""
"english","en-21588","7","「troll」の意味は？","荒らす，流し釣りする","荒らす，流し釣りする / 州警察官 / 正面の / ひどくおしゃべりの","Don't feed the troll! — ネタにマジレスするな。","/ˈtɹoʊɫ/","",""
"english","en-22640","7","「valiant」の意味は？","勇敢な","勇敢な / 恵まれない / 胸が大きい / 不名誉な","The valiant firefighters entered the burning house. — 勇敢な消防士たちは燃える家に入って行った。","/ˈvæɫjənt/","",""
"english","en-21596","7","「annoy」の意味は？","困らせる","勇気のある / 人を鼓舞する / 困らせる / 傾向がある","Loud noises annoy my grandmother very much. — 大きな音は祖母をとても困らせる。","/əˈnɔɪ/","",""
